"","anem_obs","lat2","lon2"
"64",104,10.76873717503,124.78383255378
"65",105,10.7149339547071,124.763782309768
"66",106,10.65199402975,124.783837505388
"67",107,10.8613288973,124.72161132495
"68",108,10.8714644098625,124.714165858475
"69",109,10.8714988070875,124.714193235862
"70",110,10.6521320168375,124.784314990962
"71",111,10.8615561830875,124.7213929554
"72",112,10.87190938415,124.713773973063
"73",113,10.7643207767917,124.785289128792
"74",115,10.87431833265,124.710610538025
"75",116,10.8692140889,124.716373714625
"76",117,10.87311545409,124.71208868247
"77",118,10.641047725225,124.77857897175
"78",119,10.8676879818,124.716810460742
"79",121,10.6331474916167,124.777058644683
"80",122,10.8574107676393,124.721349415893
"81",123,10.64120583935,124.7784335981
"82",124,10.8714371182292,124.714048960738
"83",125,10.651983934976,124.782945394399
"84",126,10.6335153176625,124.776876364325
"85",129,10.8613989385833,124.72144365545
"86",130,10.6326168298375,124.776936768325
"87",131,10.7435234065333,124.786596455925
"88",132,10.7282332461937,124.793465577522
"89",133,10.871517687325,124.714214064887
"90",134,10.7638429663417,124.785171291908
"91",135,10.633859378875,124.776651086863
"92",136,10.7532228296625,124.745316908225
"93",138,10.6326596054664,124.776768455748
"94",141,10.7436589314625,124.786780412525
"95",142,10.6328982068167,124.777053671417
"96",143,10.6336348144107,124.776798732643
"97",144,10.85772500816,124.724615126838
"98",147,10.7282357267125,124.793433324667
"99",148,10.872973620425,124.711670307433
"100",149,10.7685953098,124.783936573246
"101",152,10.872884258165,124.712285504205
"102",153,10.8548510115375,124.727555655413
"103",154,10.8715336863083,124.714252478442
"104",155,10.8728058708569,124.711803752634
"105",157,10.855157291525,124.727404121075
"106",158,10.764436317845,124.785302360295
"107",159,10.8734798908625,124.711972230575
"108",161,10.8740413980667,124.710649852642
"109",162,10.8611738936,124.721683821613
"110",163,10.6407896569,124.784896590275
"111",164,10.76860932378,124.783933802978
"112",165,10.8741648634833,124.710762135225
"113",166,10.7640976470625,124.785204248038
"114",167,10.6407051533667,124.784610844217
"115",168,10.86127242375,124.721559547083
"116",169,10.87328096945,124.71220097691
"117",170,10.652360287475,124.7839335096
"118",171,10.6330249028,124.777056514287
"119",172,10.6344109786375,124.7767289758
"120",173,10.8714243024875,124.7139837197
"121",174,10.7524448213875,124.745423777488
"122",175,10.7607791310792,124.785507576
"123",176,10.8714211105375,124.714023518888
"124",177,10.87296381555,124.712177543165
"125",178,10.6344161732875,124.776382297013
"126",179,10.7558120261,124.785530660487
"127",181,10.87284332725,124.711887455692
"128",182,10.8713530562875,124.714197353462
"129",183,10.8618753799167,124.721111410758
"130",184,10.8706248829,124.714747221675
"131",185,10.8618170839917,124.721222551808
"132",186,10.8617780962375,124.72111461425
"133",187,10.8691382029875,124.716345858388
"134",188,10.8612727490375,124.7214491351
"135",189,10.6334852892833,124.776719918008
"136",190,10.8696247811875,124.715953728887
"137",191,10.869455590385,124.716271279375
"138",192,10.8609028673625,124.721724050475
"139",193,10.8697356371,124.715898146381
"140",194,10.873055786835,124.711602692037
"141",196,10.87029718493,124.715039297155
"142",197,10.75324897701,124.784410196815
"143",198,10.8742354199062,124.710821484338
"144",199,10.651874545725,124.782912300425
"145",200,10.8738400403,124.710470874563
"146",201,10.633998135975,124.776601705308
"147",202,10.8735482086188,124.71201586885
"148",203,10.63362805405,124.776988191288
"149",204,10.6331679399875,124.777044088112
"150",205,10.756589113725,124.786018019092
"151",206,10.6343183748833,124.776752478458
"152",207,10.63330166275,124.776893213862
"153",208,10.6339292298083,124.776674166775
"154",209,10.632842175195,124.777046103965
"155",210,10.6333172007,124.7770925041
"156",211,10.6335577089375,124.776799336538
"157",212,10.8716659418125,124.7140576018
"158",213,10.634641133275,124.776375466887
"159",214,10.6455144798417,124.781506459683
"160",215,10.8714722783625,124.714187001812
"161",216,10.8743583841792,124.710603050196
"162",217,10.6335707536875,124.776737200537
"163",218,10.6326611072375,124.776899426963
"164",219,10.634467949475,124.776623968
"165",220,10.8553434723438,124.726231854825
"166",221,10.633837999775,124.7768925119
"167",222,10.8708081896833,124.714809898217
"168",223,10.8730415749625,124.712173333387
"169",225,10.6520723272,124.783806848575
"170",226,10.8736995933667,124.711425047642
"171",227,10.87029359768,124.71407579468
"172",228,10.873580808975,124.7111951653
"173",229,10.87362413434,124.711047215795
"174",231,10.8613191574375,124.7216049654
